cause,who_category
Gout,No Transmisibles (Crónicas)
Other musculoskeletal disorders,No Transmisibles (Crónicas)
Congenital birth defects,No Transmisibles (Crónicas)
Dermatitis,No Transmisibles (Crónicas)
Psoriasis,No Transmisibles (Crónicas)
Scabies,No Transmisibles (Crónicas)
Fungal skin diseases,No Transmisibles (Crónicas)
Viral skin diseases,No Transmisibles (Crónicas)
Acne vulgaris,No Transmisibles (Crónicas)
Alopecia areata,No Transmisibles (Crónicas)
Pruritus,No Transmisibles (Crónicas)
Urticaria,No Transmisibles (Crónicas)
Decubitus ulcer,No Transmisibles (Crónicas)
Other skin and subcutaneous diseases,No Transmisibles (Crónicas)
Age-related and other hearing loss,No Transmisibles (Crónicas)
Other sense organ diseases,No Transmisibles (Crónicas)
Oral disorders,No Transmisibles (Crónicas)
Sudden infant death syndrome,No Transmisibles (Crónicas)
Road injuries,Lesiones (Accidentes/Violencia)
Other transport injuries,No Transmisibles (Crónicas)
Falls,No Transmisibles (Crónicas)
Drowning,Lesiones (Accidentes/Violencia)
"Fire, heat, and hot substances",Lesiones (Accidentes/Violencia)
Poisonings,Lesiones (Accidentes/Violencia)
Exposure to mechanical forces,No Transmisibles (Crónicas)
Adverse effects of medical treatment,No Transmisibles (Crónicas)
Animal contact,No Transmisibles (Crónicas)
Foreign body,No Transmisibles (Crónicas)
Other unintentional injuries,No Transmisibles (Crónicas)
Self-harm,Lesiones (Accidentes/Violencia)
Interpersonal violence,Lesiones (Accidentes/Violencia)
Exposure to forces of nature,Lesiones (Accidentes/Violencia)
Environmental heat and cold exposure,No Transmisibles (Crónicas)
Ebola,No Transmisibles (Crónicas)
Executions and police conflict,No Transmisibles (Crónicas)
Zika virus,Transmisibles (Infecciosas/Maternas)
Guinea worm disease,Transmisibles (Infecciosas/Maternas)
Conflict and terrorism,Lesiones (Accidentes/Violencia)
Typhoid and paratyphoid,Transmisibles (Infecciosas/Maternas)
Invasive Non-typhoidal Salmonella (iNTS),Transmisibles (Infecciosas/Maternas)
Headache disorders,No Transmisibles (Crónicas)
Bacterial skin diseases,No Transmisibles (Crónicas)
Blindness and vision impairment,No Transmisibles (Crónicas)
Upper digestive system diseases,No Transmisibles (Crónicas)
