GRUPOS DE CAUSAS DE DEFUNCIÓN (LISTA DE CAUSAS AGRUPADAS 6/67 CIE-10 DE OPS),TOTAL,Total,,,Menor 1 año,,,De 1-4 años,,,De 5-14 años,,,De 15-44 años,,,De 45-64 años,,,De 65-84 años,,,De 85-99 años,,,De 100 y más,,,Edad desconocida,,
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado
213 RESIDUO DE TUMORES MALIGNOS,6430,3266,3164,0,2,2,0,29,17,0,77,44,0,391,326,0,1029,924,0,1398,1387,0,334,459,0,6,5,0,0,0,0
"214 CARCINOMA IN-SITU, T. BENIGNOS Y DE COMPORTAM.INCIERTO O DESCON.",3375,1675,1700,0,4,5,0,11,11,0,23,23,0,167,136,0,412,468,0,835,793,0,223,260,0,0,4,0,0,0,0
301 FIEBRE REUMATICA AGUDA Y ENF. CARDIACAS REUM. CRONICAS,33,14,19,0,0,0,0,0,0,0,0,0,0,2,10,0,6,3,0,4,4,0,2,2,0,0,0,0,0,0,0
302 ENFERMEDADES HIPERTENSIVAS,8841,4250,4591,0,1,0,0,0,3,0,0,3,0,87,55,0,581,428,0,2156,1964,0,1388,2054,0,37,84,0,0,0,0
303 ENFERMEDADES ISQUEMICAS DEL CORAZON,38618,21012,17606,0,0,1,0,0,0,0,0,0,0,573,232,0,4283,2081,0,10802,8209,0,5197,6744,0,156,339,0,1,0,0
"304 ENF. CARDIOPULMONAR, DE LA CIRC. PULM. Y OTRAS ENF. CORAZON",5116,2631,2485,0,16,28,0,19,15,0,20,12,0,220,182,0,583,421,0,1287,1123,0,481,685,0,5,19,0,0,0,0
306 INSUFICIENCIA CARDIACA,2080,1038,1042,0,5,2,0,4,1,0,4,3,0,29,21,0,147,120,0,525,464,0,312,414,0,12,17,0,0,0,0
307 ENFERMEDADES CEREBROVASCULARES,15260,7134,8126,0,3,9,0,9,9,0,17,23,0,329,292,0,1357,1242,0,3780,3926,0,1621,2577,0,18,48,0,0,0,0
308 ATEROSCLEROSIS,59,26,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,19,14,0,2,14,0,0,1,0,0,0,0
309 RESTO ENF. DEL SISTEMA CIRCULATORIO,2467,1329,1138,0,1,1,0,1,2,0,1,1,0,86,41,0,257,188,0,731,588,0,248,301,0,4,16,0,0,0,0
